geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
0,500,12,16,20,sqrt,log_loss,balanced,0.45,0.6482469693671525,0.659425,0.46633183915191573,0.7755829456098822,0.5824538460752562,0.7673392468651887
0,300,30,8,10,0.5,gini,balanced_subsample,0.45,0.6409240011954035,0.6737833333333333,0.4783152400456712,0.7180910401871956,0.5741760034809094,0.7555990079022006
0,200,8,30,10,log2,entropy,balanced_subsample,0.45,0.6292042135812365,0.6500083333333333,0.4579512664315486,0.7772698827306614,0.5763368404063228,0.7625167254697791
0,650,24,24,5,sqrt,entropy,balanced_subsample,0.5,0.6567324501750498,0.7022833333333334,0.5108951645413846,0.655157402116834,0.5741023317915216,0.758723678740072
0,200,8,16,8,0.5,entropy,balanced,0.6,0.5708237689123865,0.73715,0.584613386159192,0.4898103556172285,0.5330293429662748,0.7620012239790046
0,100,24,24,1,0.5,gini,balanced,0.55,0.622248368573653,0.7125,0.5272279022550939,0.593502571218676,0.5584056524076492,0.750602063211816
0,800,6,16,10,sqrt,entropy,balanced,0.3,0.505194142415542,0.47835833333333333,0.36500208942749685,0.9506162762223492,0.5274735229065546,0.7566823295540988
0,400,10,12,2,log2,entropy,balanced_subsample,0.65,0.5241381301345897,0.745425,0.6301283664736974,0.40870133050363233,0.49581621032826656,0.7659106732379006
0,200,30,12,4,sqrt,gini,balanced,0.3,0.5467378751005392,0.565075,0.402468917416355,0.866677550131962,0.5496777310888116,0.7475672935272115
0,500,20,30,2,0.5,log_loss,balanced,0.4,0.6116120412939795,0.6321166666666667,0.4443608230353568,0.8032541561233096,0.5721872274445198,0.7590794269376828
0,800,12,30,4,sqrt,gini,balanced_subsample,0.55,0.6347633065814597,0.725275,0.5467684553809665,0.6021549261284793,0.5731266752126791,0.767422349039361
0,400,8,2,10,0.5,gini,balanced,0.5,0.6627819852177874,0.6856333333333333,0.49079882497867905,0.7046227518842,0.5785875466386649,0.7621113316837596
