geracao,melhor_fitness,fitness_medio,fitness_desvio,avaliacoes_unicas_acumuladas,melhor_n_estimators,melhor_max_depth,melhor_min_samples_split,melhor_min_samples_leaf,melhor_max_features,melhor_criterion,melhor_class_weight,melhor_threshold,melhor_accuracy,melhor_precision,melhor_recall,melhor_f1,melhor_roc_auc
0,0.6627819852177874,0.604450604379065,0.05167807503292355,12,400,8,2,10,0.5,gini,balanced,0.5,0.6856333333333333,0.49079882497867905,0.7046227518842,0.5785875466386649,0.7621113316837596
1,0.6708966253387076,0.63543164894241,0.05932118887146654,20,400,8,2,5,sqrt,entropy,balanced,0.5,0.690625,0.4963945103512445,0.6967594482083095,0.5797534553604782,0.7625592653373434
2,0.6737023735773044,0.6315788317383728,0.0669464635021259,29,650,24,24,10,sqrt,entropy,balanced,0.5,0.6969583333333333,0.5038781384935231,0.6858215655864828,0.5809373451490603,0.7632058620746766
3,0.6737023735773044,0.661177481763731,0.014144177248471754,36,650,24,24,10,sqrt,entropy,balanced,0.5,0.6969583333333333,0.5038781384935231,0.6858215655864828,0.5809373451490603,0.7632058620746766
4,0.6737023735773044,0.6627878024038862,0.03155289723114934,40,650,24,24,10,sqrt,entropy,balanced,0.5,0.6969583333333333,0.5038781384935231,0.6858215655864828,0.5809373451490603,0.7632058620746766
5,0.6737023735773044,0.6670951440610282,0.014250454094490397,46,650,24,24,10,sqrt,entropy,balanced,0.5,0.6969583333333333,0.5038781384935231,0.6858215655864828,0.5809373451490603,0.7632058620746766
6,0.6781087844268457,0.6651479284867493,0.023359769007620046,53,650,24,24,15,sqrt,entropy,balanced,0.5,0.697225,0.504159239453357,0.6925965227328381,0.5835425191705925,0.7655103737835633
7,0.6787764657818514,0.6694973349434662,0.011013738256274847,57,400,24,24,20,0.3,entropy,balanced,0.5,0.6969583333333333,0.5038327801485696,0.6938753299050417,0.5837768544907233,0.7655980439094627
