experimento,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,amostra_fitness,amostra_accuracy,amostra_precision,amostra_recall,amostra_f1,amostra_roc_auc,treino_completo_fitness,treino_completo_accuracy,treino_completo_precision,treino_completo_recall,treino_completo_f1,treino_completo_roc_auc
experimento_a,400,24,24,20,0.3,entropy,balanced,0.5,0.6787764657818514,0.6969583333333333,0.5038327801485696,0.6938753299050417,0.5837768544907233,0.7655980439094627,0.6810499226640733,0.695710747360004,0.5023307271939313,0.6983453667329564,0.5843380036928424,0.7659724261055606
experimento_b,650,12,12,15,log2,gini,balanced,0.5,0.6813730416288486,0.69355,0.4997960967084183,0.7002693657660599,0.5832880065270601,0.7666929266366678,0.680827757994513,0.6963348350443237,0.5030741870816966,0.6969689548086249,0.5843574753641223,0.7675379428855803
experimento_c,200,12,12,15,sqrt,gini,balanced,0.5,0.6832229873523332,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975,0.6805647078226347,0.6967398919548197,0.5035582335292221,0.6963174858195283,0.5844545355499047,0.7675419141555021
