geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
0,650,,8,1,sqrt,entropy,balanced,0.35,0.5230594624716316,0.604075,0.4194567561092477,0.7621962832966016,0.5411205655949081,0.7152858123647721
0,100,30.0,16,15,0.3,gini,balanced,0.35,0.5872167967419633,0.5937083333333333,0.42017399169947856,0.8594400457105542,0.5644113679207354,0.7631895295881443
0,300,30.0,6,2,0.5,entropy,balanced_subsample,0.3,0.5286500004467246,0.602025,0.41881123834258055,0.7722362800315621,0.5430870351412634,0.7223803488199262
0,500,16.0,8,20,0.5,entropy,balanced,0.3,0.5571631210773879,0.5484,0.39628902765388047,0.9065382417761816,0.5514946866620319,0.7647778038869426
0,100,8.0,16,4,sqrt,log_loss,balanced,0.45,0.6303336784172865,0.6506333333333333,0.45850119576906406,0.7772426740674231,0.5767646583750605,0.7621707441451995
0,200,8.0,4,8,0.3,log_loss,balanced_subsample,0.6,0.5695150185157517,0.7377,0.5864146988504241,0.48717111528310614,0.532205808043278,0.762505096901482
0,500,24.0,6,5,0.3,entropy,balanced_subsample,0.4,0.6157337731501441,0.6503416666666667,0.45735583224115334,0.7595842516257176,0.5709406603744644,0.7517079892957007
1,300,10.0,6,2,0.3,log_loss,balanced,0.4,0.6122027619943368,0.6200583333333334,0.4369346231772394,0.8332108943487606,0.5732550847536948,0.7656483510272286
1,800,10.0,30,5,log2,entropy,balanced_subsample,0.55,0.6307976968444114,0.7242333333333333,0.5455608930482615,0.5963866895219437,0.569842714155726,0.765883489251276
1,800,,6,5,log2,entropy,balanced,0.45,0.6234272538201056,0.663675,0.46847240679862906,0.7289472968193073,0.5703792806122993,0.7493694898818776
1,100,8.0,6,20,0.3,entropy,balanced_subsample,0.4,0.603048342025795,0.6151583333333334,0.4332880473238799,0.8330476423693304,0.5700693571661314,0.762320004647989
1,200,24.0,8,2,0.3,log_loss,balanced_subsample,0.4,0.589948954855283,0.65405,0.4584126762285774,0.7139553233749626,0.5583335106496159,0.7373746147380411
1,100,12.0,8,4,log2,log_loss,balanced_subsample,0.35,0.5864861745872464,0.5849166666666666,0.41571234910593247,0.8760917476124398,0.5638659288316055,0.7666416452012075
1,400,30.0,12,5,sqrt,log_loss,balanced,0.55,0.6276856269324319,0.710175,0.5232673267326733,0.6039506979022121,0.5607214580728278,0.7507655018183524
1,200,10.0,4,8,sqrt,gini,balanced,0.6,0.5777451369816095,0.7401083333333334,0.5895834674563832,0.4983538758740783,0.5401436175702974,0.7657712302687402
1,200,10.0,12,5,0.3,log_loss,balanced,0.7,0.47252951721520076,0.7445916666666667,0.6680801850424055,0.33006829374472835,0.44184225382892317,0.7657844355255841
