geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
0,100,24.0,2,10,0.5,entropy,balanced_subsample,0.55,0.6167909837239889,0.7181166666666666,0.5368834900073086,0.5796261529671047,0.5574366757379108,0.7549128486696741
0,300,10.0,8,5,sqrt,log_loss,balanced_subsample,0.65,0.5244009868372884,0.7446916666666666,0.6273848204615513,0.4097896770331674,0.4957619447324676,0.7650681950104913
0,400,,4,8,log2,log_loss,balanced_subsample,0.65,0.53560914680302,0.7391166666666666,0.6030340861801536,0.43370609201969906,0.5045421454119583,0.7563150470822717
1,800,24.0,30,15,sqrt,gini,balanced,0.3,0.5569207636963835,0.5487833333333333,0.39643201657754645,0.9057219818790303,0.551481917131923,0.7641490542246008
1,500,20.0,16,4,0.5,log_loss,balanced_subsample,0.55,0.6043799559421312,0.7227583333333333,0.5465252924523263,0.5567708758468697,0.5516005121638925,0.7534116326474884
1,650,,2,8,0.5,entropy,balanced_subsample,0.6,0.5724379060357385,0.7295583333333333,0.5661131611316114,0.5009114902184856,0.5315202171120061,0.7502866812152726
1,100,16.0,2,15,0.3,log_loss,balanced,0.4,0.6184210613664072,0.6287583333333333,0.44274551276401986,0.8201507359943406,0.5750560404445081,0.7653815700302473
1,100,24.0,30,5,log2,entropy,balanced,0.45,0.6404602855454659,0.66635,0.47163261428990866,0.7430141757135472,0.5770067825976716,0.7589465724610033
1,300,16.0,6,8,0.5,log_loss,balanced_subsample,0.4,0.6218766077555437,0.6387333333333334,0.4495311806904569,0.7996354039126058,0.5755213943013806,0.7612875852941724
1,100,12.0,6,20,0.5,log_loss,balanced_subsample,0.4,0.6191855938786592,0.6292416666666667,0.44311799817695313,0.8200691100046255,0.5753500491548234,0.7652539331048983
1,500,8.0,6,4,sqrt,log_loss,balanced,0.4,0.6010015111957724,0.613975,0.43241907236879273,0.8330476423693304,0.5693167343826994,0.7619876283087135
1,800,20.0,16,15,0.5,gini,balanced,0.55,0.6352601706847674,0.7178916666666667,0.5346128139024158,0.6093652218866487,0.5695466971835463,0.7607272467228461
1,100,20.0,6,8,0.5,log_loss,balanced_subsample,0.4,0.6176529758436686,0.643675,0.45265348595213317,0.781160721573749,0.5731740185068727,0.7554858947166139
1,100,10.0,4,1,0.5,entropy,balanced,0.55,0.6373938819295123,0.7189666666666666,0.5361498985559136,0.6111609936603815,0.571203336384905,0.7640417354674766
1,800,30.0,30,15,log2,gini,balanced_subsample,0.3,0.5609242298399227,0.55605,0.39992973699831613,0.8982395994884771,0.5534450963956412,0.7632936286191335
1,650,30.0,16,1,0.3,gini,balanced,0.55,0.6152241400564009,0.70085,0.5100208621457537,0.5920060947405654,0.5479638350920493,0.7377289875821269
1,100,12.0,30,1,0.3,log_loss,balanced_subsample,0.65,0.5338034201374429,0.7448,0.6222523636653768,0.4244007291921748,0.504626334519573,0.7657407665803694
2,500,10.0,2,4,0.5,gini,balanced,0.4,0.6156706414846971,0.6240916666666667,0.43967483900776805,0.8285310042717601,0.5744875531784438,0.7645429823733434
2,800,16.0,6,8,0.5,log_loss,balanced_subsample,0.65,0.5307774117869761,0.7419333333333333,0.6143958868894601,0.4226865834081572,0.5008220767916438,0.7612873048632494
2,800,30.0,8,1,sqrt,gini,balanced_subsample,0.6,0.5260265365530528,0.7170083333333334,0.5469422043010753,0.4428754115310315,0.4894381549471532,0.7196046195197707
2,100,20.0,16,15,log2,entropy,balanced_subsample,0.55,0.6343539368943684,0.7228666666666667,0.5427767584097859,0.6036514026065899,0.571597877054671,0.7649257704200064
2,100,24.0,30,20,log2,entropy,balanced,0.45,0.647390957223722,0.663225,0.4693446797105334,0.7623323266127935,0.5809909900569212,0.7654190152392868
2,400,20.0,16,15,log2,gini,balanced_subsample,0.55,0.6343153133743675,0.7231333333333333,0.5432253007030695,0.6033521073109678,0.5717121716038879,0.7651728544130629
2,100,10.0,4,8,0.5,gini,balanced_subsample,0.4,0.6153348781966027,0.6247916666666666,0.44005970841424885,0.8261910592332599,0.5742518084251336,0.7646157687423921
